chunk_id,chunk_text,clause_type,clause_domain,clause_subdomain,jurisdiction,regulation,document_name,clause_title,clause_number,keywords,entities,hierarchy_path,search_score,reranker_score,caption
4f2ee06a-c2fe-4c16-9add-558278cec55c,"Article 4. Consent Requirements. Obtaining consent must be:
a) Free: there must be no error, bad faith, physical or psychological violence
or intent, which may affect the owner's expression of will;
b) Specific: referring to one or several determined and defined purposes that
justify the treatment;
c) Informed: that the owner has prior knowledge of the treatment, to what their
personal data will be subjected and the consequences of giving their consent.
Likewise, to know who is responsible for t...",consent,Individual Rights Processing|Policy Management,Consent|Notice and Disclosure,Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 4. Consent Requirements. Obtaining consent must be:,4,consent|informed consent|express consent|personal data|controller,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter II > Article 4. Consent Requirements. Obtaining consent must be:",36.449215,0,
dd1851a6-c334-4a2c-bf8c-c109ac3c66af,"Article 6. Burden of proof of consent. In order to demonstrate obtaining
consent, the burden of proof will fall, in all cases, on the person in charge of the
database.

Article 7. Of the revocation. At any time, the owner may revoke their consent
to the processing of their personal data, for which the person responsible must
establish expeditious, simple and free mechanisms that allow the owner to revoke
their consent.",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Subject Rights,Costa Rica,GDPR,"""Regulation to Personal Data Protection Law - Costa Rica 2012""",Article 6. Burden of proof of consent. In order to demonstrate obtaining,6,consent|burden of proof|revocation|personal data,personal data,"Chapter I > Article 1. Object. The purpose of these provisions is to regulate the Law on > Article 2. Definitions, acronyms and acronyms. In addition to the definitions > Chapter II > Article 6. Burden of proof of consent. In order to demonstrate obtaining",31.926777,0,
3b8f4c16-2365-40e2-8b9d-e2dece251740,"(4) The consent specified in subsection (1) of this section is not required if the processed personal data only
contain the data subject's name, sex, date of birth and death, the fact of death, and the time and place of burial.

§ 10. Processing of personal data in connection with violation of obligation",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Minimization,Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",(4) The consent specified in subsection (1) of this section is not required if the processed personal data only,General,consent|personal data|data subject,data subject|personal data,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services > § 9. Processing of personal data after death of data subject > (4) The consent specified in subsection (1) of this section is not required if the processed personal data only,23.753347,0,
54b0e041-1104-4782-86f9-0b69967b75d7,"(1) To the extent that it may be necessary to carry out the purposes of sections 354.400
to 354.636;

(2) Upon the express consent of the enrollee or applicant;",consent,Individual Rights Processing,Consent,Missouri,HIPAA,"""Health Services Corporations Act - Missouri 1983""",(2) Upon the express consent of the enrollee or applicant;,General,consent,,"(1) ""Corporation"", a domestic health services corporation subject to the provisions of > (2) ""Director"", the director of the department of commerce and insurance of the state of > (3) ""Health services"", the health care and services provided by hospitals, or other > (4) ""Health services corporation"", any not-for-profit corporation heretofore or > (5) ""Member"" or ""beneficiary"", a natural person who is entitled to receive health > (6) ""Membership contract"", any agreement, contract or certificate by which a health > (2) Upon the express consent of the enrollee or applicant;",21.692427,0,
991a9d25-a2e9-4153-84d7-7fc1d77a68b3,"§ 9. Processing of personal data after death of data subject

(1) The consent of a data subject shall remain valid during the lifetime of the data subject and for 10 years after
the death of the data subject, unless the data subject decided otherwise. If the data subject died as a minor, his or
her consent shall be valid for the term of 20 years after the death of the data subject.",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Retention,Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",(1) The consent of a data subject shall remain valid during the lifetime of the data subject and for 10 years after,General,consent|data subject,20 years|data subject|10 years|personal data,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services > § 9. Processing of personal data after death of data subject > (1) The consent of a data subject shall remain valid during the lifetime of the data subject and for 10 years after,20.91682,0,
8c0344ca-ecf4-4ce0-9808-05df047137dc,"(6) Consent as required by subsection (5) must be obtained in accordance with section 10
of the Danish Marketing Practices Act.

(7) The processing of data as mentioned in subsection (5) may not, however, include data
as mentioned in Article 9(1) of the General Data Processing Regulation or section 8 of this
Act.",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Lawfulness, Fairness, Transparency",Denmark,GDPR,"""Data Protection Act - Denmark 2018""",(6) Consent as required by subsection (5) must be obtained in accordance with section 10,6,consent|processing of data,,"Chapter I > Part 3 > (2) To ascertain whether processing for another purpose is compatible with the purpose for > (3) Regardless of subsections (1) and (2), in consultation with the Minister of Justice and > Article 6 of the General Data Protection Regulation processed solely in connection with > (2) The data covered by subsection (1) may not subsequently be processed for other than > (6) Consent as required by subsection (5) must be obtained in accordance with section 10",20.07433,0,
00a9ae77-6d04-4071-a5ae-3d820bbb9aed,"(2) After the death of the data subject, processing of his or her personal data is permitted only with the consent
of the successors of the data subject, except in the case:
1) 10 years have passed since the death of the data subject;
2) 20 years have passed since the death of a data subject who was a minor;
3) personal data are processed under any other legal bases.

(3) In the case of several successors, processing of the personal data of the data subject is permitted with the
consent of any o...",consent,Individual Rights Processing|Data Lifecycle Management,Consent|Data Retention,Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""","(2) After the death of the data subject, processing of his or her personal data is permitted only with the consent",General,consent|data subject|personal data|processing|legal bases,20 years|data subject|10 years|personal data,"Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services > § 9. Processing of personal data after death of data subject > (2) After the death of the data subject, processing of his or her personal data is permitted only with the consent",18.636898,0,
c44371ae-e4f5-4739-9ab8-f4cc73224583,"§ 20-2-666. Activities by operators; limitations

(a) An operator shall not knowingly engage in any of the following activities with respect to such
operator's site, service, or application without explicit written consent from the student's parent or
guardian, or an eligible student:",consent,Individual Rights Processing,Consent,Georgia,FERPA,"""Student Data Privacy Act - Georgia 2015""",(a) An operator shall not knowingly engage in any of the following activities with respect to such,15,explicit consent,,"TITLE 20. EDUCATION > CHAPTER 2. ELEMENTARY > ARTICLE 15. STUDENT DATA PRIVACY, ACCESSIBILITY, AND > § 20-2-666. Activities by operators; limitations > (a) An operator shall not knowingly engage in any of the following activities with respect to such",18.437933,0,
627ca20d-dfd4-4640-a5b0-0bd8d1c78b39,"(1) If Article 6(1)(a) of Regulation (EU) 2016/679 of the European Parliament and of the Council applies in
connection with provision of information society services directly to a child, processing of the child's personal
data is permitted only in the case the child is at least 13 years old.

(2) If the child is below the age of 13 years, processing of personal data is permitted only in the case and to the
extent for which consent has been given by the legal representative of the child.
Page 2 /...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Lawfulness, Fairness, Transparency",Estonia,GDPR,"""Personal Data Protection Act - Estonia 2019""",(1) If Article 6(1)(a) of Regulation (EU) 2016/679 of the European Parliament and of the Council applies in,General,consent|personal data|processing|legal representative,representative|13 years|personal data|Personal Data,Chapter 1 > § 1. Scope of regulation of Act > (1) This Act regulates: > Chapter 3 > § 8. Processing of children's personal data for provision of information society services > (1) If Article 6(1)(a) of Regulation (EU) 2016/679 of the European Parliament and of the Council applies in,16.360905,0,
3f448060-e0a6-4f08-91be-c7dcf183f524,"(2) Private individuals and entities may process data concerning identification numbers
where:
1) this follows from the law; or
2) the data subject has given consent in accordance with Article 7 of the General Data
Protection Regulation; or
3) the processing is carried out solely for scientific or statistical purposes or if it is a matter
of disclosing an identification number where such disclosure is a natural element of the
ordinary operation of enterprises etc. of the type in question and the...",consent,Individual Rights Processing|Data Lifecycle Management,"Consent|Lawfulness, Fairness, Transparency",Denmark,GDPR,"""Data Protection Act - Denmark 2018""",(2) Private individuals and entities may process data concerning identification numbers,6,consent|data subject|processing|controller|personal data|General Data Protection Regulation|Article 7|Article 6(1)|Article 9(1),data subject|controller|personal data,"Chapter I > Part 3 > (2) To ascertain whether processing for another purpose is compatible with the purpose for > (3) Regardless of subsections (1) and (2), in consultation with the Minister of Justice and > Article 6 of the General Data Protection Regulation processed solely in connection with > (2) The data covered by subsection (1) may not subsequently be processed for other than > (2) Private individuals and entities may process data concerning identification numbers",15.126521,0,
